Weight (lbs):,10.886229826455354
,
"velocity (vertical, m/s)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.20,-0.77,3395,0.75,7145
,
"velocity (horizontal, m/s)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.10,-0.60,19853,0.30,6978
,
"velocity (m/s)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.25,0.00,19978,0.89,7145
,
"acceleration (vertical, m/s^2)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.77,-4.87,6895,8.40,7061
,
"acceleration (horizontal, m/s^2)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.29,-8.69,7061,5.24,6936
,
"acceleration (m/s^2)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.88,0.00,19978,12,7061
,
"displacement (vertical, m)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.00,-0.32,978,0.03,7561
,
"displacement (horizontal, m)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.06,-0.24,19978,0.09,16603
,
"displacement (m)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.18,0.00,0,0.33,978
,
"power (vertical, kW)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.04,0.00,19978,0.10,7103
,
"power (horizontal, kW)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.00,0.00,19978,0.01,6978
,
"power (kW)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.04,0.00,19978,0.10,7103
,
"force (vertical, kN)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.11,0.05,6895,0.20,7061
,
"force (horizontal, kN)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.05,0.00,19978,0.06,6936
,
"force (kN)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.11,0.06,6895,0.20,7061
,
Frame number,Time (s),"velocity (vertical, m/s)","velocity (horizontal, m/s)","velocity (m/s)","acceleration (vertical, m/s^2)","acceleration (horizontal, m/s^2)","acceleration (m/s^2)","displacement (vertical, m)","displacement (horizontal, m)","displacement (m)","power (vertical, kW)","power (horizontal, kW)","power (kW)","force (vertical, kN)","force (horizontal, kN)","force (kN)"
78,3.19,-0.30,0.03,0.30,-3.24,0.15,3.24,0.00,0.02,0.02,0.00,0.00,0.00,0.07,0.00,0.07
79,3.23,-0.44,0.03,0.44,-3.71,0.30,3.72,-0.01,0.02,0.03,0.00,0.00,0.00,0.07,0.00,0.07
80,3.27,-0.59,0.05,0.59,-3.35,0.44,3.37,-0.03,0.02,0.04,0.00,0.00,0.00,0.07,0.00,0.07
81,3.31,-0.71,0.07,0.71,-2.13,0.39,2.17,-0.06,0.03,0.07,0.00,0.00,0.00,0.08,0.00,0.08
82,3.35,-0.77,0.08,0.77,-0.72,0.23,0.75,-0.10,0.03,0.10,0.00,0.00,0.00,0.10,0.00,0.10
83,3.40,-0.77,0.09,0.78,0.50,0.08,0.51,-0.13,0.04,0.14,0.00,0.00,0.00,0.11,0.00,0.11
84,3.44,-0.73,0.09,0.73,1.55,-0.01,1.55,-0.16,0.04,0.17,0.00,0.00,0.00,0.12,0.00,0.12
85,3.48,-0.65,0.09,0.66,2.10,0.01,2.10,-0.19,0.04,0.20,0.00,0.00,0.00,0.13,0.00,0.13
86,3.52,-0.56,0.09,0.57,1.99,0.11,1.99,-0.22,0.05,0.22,0.00,0.00,0.00,0.13,0.00,0.13
87,3.56,-0.49,0.10,0.50,1.60,0.08,1.61,-0.24,0.05,0.25,0.00,0.00,0.00,0.12,0.00,0.12
88,3.60,-0.43,0.10,0.44,1.11,-0.14,1.12,-0.26,0.05,0.26,0.00,0.00,0.00,0.12,0.00,0.12
89,3.65,-0.39,0.08,0.40,0.95,-0.44,1.05,-0.27,0.06,0.28,0.00,0.00,0.00,0.12,0.00,0.12
90,3.69,-0.34,0.06,0.35,1.52,-0.67,1.66,-0.29,0.06,0.30,0.00,0.00,0.00,0.12,0.00,0.12
91,3.73,-0.26,0.03,0.26,2.36,-0.74,2.47,-0.30,0.06,0.31,0.00,0.00,0.00,0.13,0.00,0.13
92,3.77,-0.15,0.00,0.15,2.90,-0.63,2.97,-0.31,0.06,0.32,0.00,0.00,0.00,0.14,0.00,0.14
93,3.81,-0.02,-0.02,0.03,3.00,-0.42,3.03,-0.32,0.06,0.33,0.00,0.00,0.00,0.14,0.00,0.14
94,3.85,0.09,-0.03,0.10,2.56,-0.24,2.58,-0.32,0.06,0.32,0.01,0.00,0.01,0.13,0.00,0.13
95,3.90,0.18,-0.04,0.19,1.78,-0.14,1.78,-0.31,0.06,0.31,0.02,0.00,0.02,0.13,0.00,0.13
96,3.94,0.24,-0.05,0.25,1.03,-0.11,1.04,-0.30,0.06,0.30,0.03,0.00,0.03,0.12,0.00,0.12
97,3.98,0.27,-0.05,0.28,0.59,-0.11,0.60,-0.29,0.06,0.29,0.03,0.00,0.03,0.11,0.00,0.11
98,4.02,0.30,-0.06,0.30,0.48,-0.06,0.48,-0.28,0.05,0.28,0.03,0.00,0.03,0.11,0.00,0.11
99,4.06,0.32,-0.06,0.32,0.49,0.03,0.50,-0.26,0.05,0.27,0.04,0.00,0.04,0.11,0.00,0.11
100,4.10,0.33,-0.05,0.34,0.36,0.12,0.37,-0.25,0.05,0.25,0.04,0.00,0.04,0.11,0.00,0.11
101,4.14,0.35,-0.05,0.35,0.17,0.14,0.22,-0.23,0.05,0.24,0.04,0.00,0.04,0.11,0.00,0.11
102,4.19,0.35,-0.04,0.35,0.19,0.11,0.22,-0.22,0.05,0.22,0.04,0.00,0.04,0.11,0.00,0.11
103,4.23,0.36,-0.04,0.36,0.21,0.11,0.24,-0.21,0.04,0.21,0.04,0.00,0.04,0.11,0.00,0.11
104,4.27,0.37,-0.03,0.37,0.15,0.05,0.16,-0.19,0.04,0.20,0.04,0.00,0.04,0.11,0.00,0.11
105,4.31,0.38,-0.03,0.38,0.12,-0.03,0.12,-0.17,0.04,0.18,0.04,0.00,0.04,0.11,0.00,0.11
106,4.35,0.38,-0.04,0.38,0.03,-0.02,0.03,-0.16,0.04,0.16,0.04,0.00,0.04,0.11,0.00,0.11
107,4.39,0.38,-0.04,0.38,0.01,-0.06,0.06,-0.14,0.04,0.15,0.04,0.00,0.04,0.11,0.00,0.11
108,4.44,0.38,-0.04,0.38,0.05,-0.16,0.16,-0.13,0.04,0.13,0.04,0.00,0.04,0.11,0.00,0.11
109,4.48,0.38,-0.05,0.38,-0.11,-0.23,0.25,-0.11,0.04,0.12,0.04,0.00,0.04,0.11,0.00,0.11
110,4.52,0.37,-0.06,0.37,-0.31,-0.23,0.39,-0.09,0.03,0.10,0.04,0.00,0.04,0.10,0.00,0.10
111,4.56,0.36,-0.07,0.36,-0.31,-0.06,0.32,-0.08,0.03,0.09,0.04,0.00,0.04,0.10,0.00,0.10
112,4.60,0.35,-0.06,0.35,-0.14,0.18,0.22,-0.07,0.03,0.07,0.04,0.00,0.04,0.11,0.00,0.11
113,4.64,0.34,-0.05,0.35,0.05,0.30,0.30,-0.05,0.02,0.06,0.04,0.00,0.04,0.11,0.00,0.11
114,4.69,0.35,-0.04,0.35,0.02,0.29,0.29,-0.04,0.02,0.04,0.04,0.00,0.04,0.11,0.00,0.11
115,4.73,0.34,-0.03,0.34,-0.32,0.12,0.35,-0.02,0.02,0.03,0.04,0.00,0.04,0.10,0.00,0.10
116,4.77,0.32,-0.03,0.32,-0.86,-0.06,0.86,-0.01,0.02,0.02,0.03,0.00,0.03,0.10,0.00,0.10
117,4.81,0.27,-0.03,0.27,-1.49,-0.06,1.49,0.01,0.02,0.02,0.02,0.00,0.02,0.09,0.00,0.09
118,4.85,0.20,-0.03,0.20,-1.98,0.08,1.98,0.02,0.02,0.02,0.02,0.00,0.02,0.09,0.00,0.09
119,4.89,0.11,-0.03,0.11,-2.02,0.19,2.03,0.02,0.02,0.03,0.01,0.00,0.01,0.08,0.00,0.08
120,4.94,0.03,-0.02,0.04,-1.57,0.07,1.57,0.03,0.02,0.03,0.00,0.00,0.00,0.09,0.00,0.09
121,4.98,-0.02,-0.02,0.03,-0.85,-0.18,0.87,0.02,0.01,0.03,0.00,0.00,0.00,0.10,0.00,0.10
122,5.02,-0.04,-0.03,0.05,-0.14,-0.24,0.28,0.02,0.01,0.03,0.00,0.00,0.00,0.11,0.00,0.11
123,5.06,-0.03,-0.04,0.05,0.24,-0.08,0.25,0.02,0.01,0.02,0.00,0.00,0.00,0.11,0.00,0.11
124,5.10,-0.02,-0.04,0.05,0.23,0.14,0.27,0.02,0.01,0.02,0.00,0.00,0.00,0.11,0.00,0.11
125,5.14,-0.02,-0.03,0.03,0.10,0.23,0.25,0.02,0.01,0.02,0.00,0.00,0.00,0.11,0.00,0.11
126,5.19,-0.01,-0.02,0.03,-0.02,0.13,0.13,0.02,0.01,0.02,0.00,0.00,0.00,0.11,0.00,0.11
127,5.23,-0.02,-0.02,0.03,-0.10,0.06,0.11,0.02,0.01,0.02,0.00,0.00,0.00,0.11,0.00,0.11
128,5.27,-0.02,-0.02,0.03,-0.05,0.08,0.09,0.02,0.01,0.02,0.00,0.00,0.00,0.11,0.00,0.11
129,5.31,-0.02,-0.01,0.02,0.10,0.05,0.11,0.02,0.01,0.02,0.00,0.00,0.00,0.11,0.00,0.11
130,5.35,-0.01,-0.01,0.02,0.20,-0.02,0.20,0.01,0.01,0.02,0.00,0.00,0.00,0.11,0.00,0.11
131,5.39,-0.00,-0.01,0.02,0.15,-0.03,0.16,0.01,0.00,0.01,0.00,0.00,0.00,0.11,0.00,0.11
132,5.44,-0.00,-0.01,0.01,-0.05,0.10,0.11,0.01,0.00,0.01,0.00,0.00,0.00,0.11,0.00,0.11
133,5.48,-0.01,-0.00,0.01,-0.37,0.31,0.48,0.01,0.00,0.01,0.00,0.00,0.00,0.10,0.00,0.10
134,5.52,-0.03,0.01,0.04,-0.71,0.39,0.81,0.01,0.00,0.01,0.00,0.00,0.00,0.10,0.00,0.10
135,5.56,-0.07,0.03,0.07,-1.07,0.31,1.12,0.01,0.00,0.01,0.00,0.00,0.00,0.10,0.00,0.10
136,5.60,-0.13,0.04,0.13,-1.63,0.20,1.65,0.01,0.01,0.01,0.00,0.00,0.00,0.09,0.00,0.09
137,5.64,-0.21,0.04,0.21,-2.37,0.09,2.37,0.00,0.01,0.01,0.00,0.00,0.00,0.08,0.00,0.08
138,5.69,-0.32,0.05,0.32,-2.99,0.07,2.99,-0.01,0.01,0.01,0.00,0.00,0.00,0.07,0.00,0.07
139,5.73,-0.45,0.05,0.45,-3.07,0.23,3.08,-0.02,0.01,0.02,0.00,0.00,0.00,0.07,0.00,0.07
140,5.77,-0.57,0.06,0.57,-2.35,0.44,2.39,-0.04,0.01,0.05,0.00,0.00,0.00,0.08,0.00,0.08
141,5.81,-0.64,0.09,0.65,-1.21,0.61,1.36,-0.07,0.02,0.07,0.00,0.00,0.00,0.09,0.01,0.09
